Tanggal,Media,Topik
11-Apr-23,Lapor Sleman,Lubang Di Utara Perempatan UPN Veteran
11-Apr-23,Lapor Sleman,Lubang Di Jalan Candi Gebang
11-Apr-23,Lapor Sleman,Lubang Di Jalan Brajajaya
11-Apr-23,Lapor Sleman,Lubang Di Jalan Anggajaya 2
11-Apr-23,Lapor Sleman,Kabel Listrik Dan Jaringan Terganggu Pohon
11-Apr-23,Instagram,Pengumuman PPPK
11-Apr-23,Instagram,Permohonan KK hilang
11-Apr-23,Instagram,PKL
11-Apr-23,Twitter,Apill simpang empat pasar stan
12-Apr-23,Instagram,CP Lomba mewarnai pasar lebaran
12-Apr-23,Instagram,CP Lomba mewarnai pasar lebaran
12-Apr-23,Twitter,Sound masjid
13-Apr-23,Instagram,CP Lomba mewarnai pasar lebaran
13-Apr-23,Lapor Sleman,Lubang Di Depan Toko Nizam
13-Apr-23,Twitter,Akun twitter dinsos
13-Apr-23,Twitter,jlan berdebu akibat proyek nasional
13-Apr-23,Instagram,APILL
14-Apr-23,Twitter,Jalan berlubang
16-Apr-23,Twitter,LPJU mati
17-Apr-23,Website,Parkiran ATM depan RSUD
17-Apr-23,Lapor Sleman,Surat Warga
17-Apr-23,Lapor Sleman,Pembuatan PBG Dan SLF
17-Apr-23,Website,CCTV
18-Apr-23,Twitter,Permohonan pencetakan KTPel
18-Apr-23,Twitter,Prosedur pindah keluar
19-Apr-23,Website,PJU mati
19-Apr-23,Website,air rusunawa mati
20-Apr-23,Website,Jalan Rusak
21-Apr-23,Website,CCTV
22-Apr-23,Lapor Sleman,Pesta Petasan Di Sidomoyo
22-Apr-23,Lapor Sleman,"Penjual Petasan Di Sidomoyo Dan Sidoarum, Godean"
24-Apr-23,Lapor Sleman,WEBSITE TIDAK JELAS
24-Apr-23,Lapor Sleman,SABUNG AYAM
25-Apr-23,Instagram,Informasi vaksin
25-Apr-23,Instagram,Warmindo mengganggu kenyamanan
25-Apr-23,Twitter,jalan inspeksi selokan mataram
25-Apr-23,Twitter,Drainase meluap
25-Apr-23,Twitter,Polusi udara dari peternakan ayam
26-Apr-23,Lapor Sleman,Jalan Rusak Di Depan Masjid Al-Muttaqin
26-Apr-23,Instagram,Informasi vaksin
26-Apr-23,Instagram,Informasi vaksin
27-Apr-23,Lapor Sleman,Surat Warga
27-Apr-23,Lapor.go.id,Ditarik Biaya Padahal Menggunakan BPJS
27-Apr-23,Instagram,Jalan macet akibat parkir tempo gelato jalan kaliurang
27-Apr-23,Instagram,Penutupan pintu air
27-Apr-23,Instagram,Pengamen di simpang bogem kalasan
27-Apr-23,Twitter,Jalan kaliurang macet akibat parkir tempo gelato
28-Apr-23,Lapor Sleman,Petugas Parkir Ilegal
28-Apr-23,Lapor Sleman,Surat Warga
28-Apr-23,Lapor Sleman,Informasi Mengenai Tanah Kas Desa
29-Apr-23,Lapor Sleman,Listrik Mati Jalan Rejondani Pandanaran Candi
29-Apr-23,Lapor Sleman,Layanan Digital Pemkab
29-Apr-23,Instagram,Pengamen
29-Apr-23,Twitter,LPJU ring road
30-Apr-23,Instagram,Jamkesda
30-Apr-23,Twitter,Pak Ogah
2-May-23,Lapor Sleman,Oknum Pasang Reklame Tebang Pohon Tidak Dibersihkan
2-May-23,Lapor Sleman,Mohon Ditertibkan
2-May-23,Lapor Sleman,Transparansi Penerimaan Ppdb Smp Melalui Jalur KKO Yang Terasa Berkabut/TIDAK JELAS
2-May-23,Twitter,Pembayaran KIR online
2-May-23,Instagram,Jalan berlubang
2-May-23,Instagram,Aksi premanisme di Babarsari
2-May-23,Email,Aksi premanisme di Babarsari
2-May-23,Instagram,Pembuatan SIM
3-May-23,Twitter,Pelayanan SIM corner MPP
3-May-23,Website,TPP kabupaten sleman
3-May-23,Twitter,Underpass kentungan banjir
4-May-23,Lapor Sleman,Pemasangan Traffic Cone Tidak Pada Tempatnya
4-May-23,Twitter,Jalan kapten hariyadi
4-May-23,Twitter,Jalan kapten hariyadi
4-May-23,Instagram,Jalan kapten hariyadi
4-May-23,Instagram,Jalan kapten hariyadi
4-May-23,Lapor.go.id,"Kegiatan sampai tengah malam, mengganggu waktu istirahat"
5-Jul-23,Lapor Sleman,Polusi suara
4-May-23,Instagram,Aliran listrik sering padam
4-May-23,Instagram,Aliran listrik sering padam
4-May-23,Twitter,Jalan angga jaya
4-May-23,Twitter,Genangan di perempatan condongcatur
4-May-23,Lapor Sleman,Jembatan Ambles Di Jl. Cendrawasih Sardonoharjo Ngaglik Sleman
5-May-23,Lapor Sleman,Surat Warga
5-May-23,Lapor Sleman,Tumpukan Kayu Mengganggu
5-May-23,Lapor Sleman,Perihal Subsidi
5-May-23,Website,Permohonan rekaman cctv
5-May-23,Website,Permohonan bantuan jps
6-May-23,Twitter,Jalan berlubang
7-May-23,Website,gangguan kenyamanan
7-May-23,Email,Limbah RPH
7-May-23,Lapor Sleman,Penting Dan Mendesak
7-May-23,Lapor Sleman,Dugaan Praktik Ilegal Klinik Kecantikan Tanpa Dokter Dan SIP Moo Asthetic
7-May-23,Twitter,Truk DLH melanggar lalu lintas
7-May-23,Instagram,gangguan kenyamanan
7-May-23,Instagram,Aliran listrik
7-May-23,Instagram,Permohonan data BUMDes
7-May-23,Instagram,Informasi vaksin
7-May-23,Facebook Pemkab Sleman,Limbah RPH
8-May-23,Instagram,BPJS Gratis
8-May-23,Instagram,gangguan kenyamanan
8-May-23,Instagram,Informasi lowongan kerja
8-May-23,Lapor.go.id,Informasi terkait PMK di Kabupaten Sleman
8-May-23,Lapor Sleman,"Bengkel Mengganggu: Knalpot Blombongan, Kebut-Kebutan"
9-May-23,Website,Laporan dana PIP
9-May-23,Twitter,LPJU mati
9-May-23,Instagram,Ring basket rusak
10-May-23,Email,Permohonan surat rekomendasi kegiatan
10-May-23,Twitter,APILL mati
10-May-23,Instagram,Informasi lowongan kerja
11-May-23,Twitter,Polisi tidur atau pembatas kecepatan
11-May-23,Lapor Sleman,Bagaimana Mengundang Bupati Sleman
11-May-23,Website,Jalan berlubang
11-May-23,Instagram,Jalan berlubang
11-May-23,Facebook Pemkab Sleman,Informasi jaminan kesehatan
11-May-23,Twitter,Aturan mewajibkan siswa ikut trip/piknik
12-May-23,Lapor Sleman,Surat Warga
12-May-23,Facebook Pemkab Sleman,Tumpukan sampah
12-May-23,Instagram,Permohonan data kesehatan
12-May-23,Lapor Sleman,Pembaharuan Data
12-May-23,Twitter,LPJU mati
12-May-23,Twitter,Pemulung sakit
12-May-23,Lapor Sleman,Pip
13-May-23,Lapor Sleman,Kost Bebas
13-May-23,Facebook Pemkab Sleman,Pemasangan PDAM
14-May-23,Lapor Sleman,Limbah Cair
14-May-23,Website,Pembuangan limbah ke selokan
14-May-23,Lapor Sleman,Lubang Di Jalan Ringin Raya
14-May-23,Lapor Sleman,Jalan Berlubang CKJ
14-May-23,Lapor Sleman,Bukti Bayar PBB
14-May-23,Lapor Sleman,Apakah Ada Armada Truck Di Dinas Pemkab Sleman Yg Bisa Dipinjam Untuk Transport Kegiatan ?
15-May-23,Twitter,Jalan berlubang
15-May-23,Twitter,Jalan berlubang
15-May-23,Twitter,Jalan berlubang
15-May-23,Instagram,CCTV 24 jam
15-May-23,Instagram,informasi vaksin
16-May-23,Instagram,Pelayanan Dinas Dukcapil
16-May-23,Lapor Sleman,Izin Pengeringan Tanah
16-May-23,Twitter,Spearator ring road berantakan
16-May-23,Twitter,Mainan di halaman masjid agung
16-May-23,Instagram,Pembakaran sampah di dekat pemukiman
17-May-23,Lapor Sleman,Lampu Lalin Mati
17-May-23,Lapor Sleman,Pemasangan Lampu Jalan
17-May-23,Twitter,Pemberian data pribadi kepaeda mahasiswa penelitian
17-May-23,Instagram,Kontak Damkar
17-May-23,Twitter,villa kandhara
17-May-23,Twitter,Pelanggaran jalan turi
18-May-23,Instagram,Kontak Puskeswan
18-May-23,Website,Berita terkait O2SN
18-May-23,Instagram,Akta kelahiran hilang
19-May-23,Lapor Sleman,LPJU mati
19-May-23,Lapor Sleman,Aturan Parkir Di Jalan Depan Rumah
20-May-23,Lapor Sleman,Penyalahgunaan Yayasan
21-May-23,Lapor Sleman,Penumpukan Sampah Dan Limbah Disungai Dan Selokan
21-May-23,Lapor Sleman,Jalan Berlubang Di Ruas Jalan Nambongan-Medari
20-May-23,Website,LPJU mati
21-May-23,Twitter,Ring basket denggung rusak
21-May-23,Twitter,Penyuluhan pengelolaan sampah plastik
22-May-23,Twitter,APILL mati
22-May-23,Lapor Sleman,Jalan Sering Terjadi Kecelakaan
22-May-23,Twitter,Rekaman cctv
22-May-23,Instagram,gangguan kenyamanan
22-May-23,Lapor.go.id,BPNT
22-May-23,Lapor.go.id,"Perbaikan Sarana dan Prasarana Stadion Maguwoharjo, Sleman"
23-May-23,Website,JPS
23-May-23,Lapor Sleman,Puskesmas Sleman
24-May-23,Website,wifi padukuhan
24-May-23,Twitter,APILL mati
24-May-23,Instagram,Sampah di pinggir rign road
24-May-23,Lapor Sleman,Bakar Sampah
24-May-23,Instagram,Pemuktahiran KK
25-May-23,Twitter,APILL mati
25-May-23,Instagram,Perbuatan asusila di fasilitas umum
26-May-23,Instagram,hibah pembangunan rumah ibadah
26-May-23,Twitter,perbaikan ruas jalan Jalan Gito-Gati
27-May-23,Instagram,Informasi vaksin
28-May-23,Instagram,Lapangan pemda
28-May-23,Twitter,Mesin ADM
28-May-23,Lapor Sleman,Keluhan
28-May-23,Lapor Sleman,Acara IBARBO Mengganggu Kenyamanan
29-May-23,Lapor Sleman,Aduan Bantuan Sosial
29-May-23,Instagram,Pohon membahayakan kabel PLN
29-May-23,Twitter,Pencurian sepatu
29-May-23,Twitter,LPJU ring road
29-May-23,Lapor.go.id,Penjualan Jamu Rumahan Apa Sudah Ada Izin BPOM Dan Halal
29-May-23,Lapor.go.id,Peralatan bermain di taman Denggung Sleman banyak yang rusak
30-May-23,Lapor.go.id,Pembagian Bansos tidak merata
30-May-23,Lapor.go.id,"Dugaan Pelaksanaan Jual Beli dan Pengelolaan Rumah Susun secara Melawan Hukum pada Rumah Susun ""Yudhistira Tower"" di Kabupaten Sleman."
30-May-23,Instagram,Informasi vaksin
30-May-23,Lapor Sleman,Pasar Malam Sidoarum
30-May-23,Lapor Sleman,Spanduk Menghalangi Pandangan Berbahaya
30-May-23,Lapor Sleman,Pembuatan Speed Bump
30-May-23,Instagram,Perbaikan Stadion Maguwoharjo
30-May-23,Twitter,Perbaikan Stadion Maguwoharjo
30-May-23,Instagram,Prosedur permohonan mutasi masuk sleman
30-May-23,Twitter,LPJU mati
31-May-23,Instagram,PPD
1-Jun-23,Lapor Sleman,Penjualan Tanah Kavling Zona Hijau Oleh KPTI
1-Jun-23,Instagram,Surat domisili
1-Jun-23,Instagram,Parkir musium
2-Jun-23,Instagram,Pinjam masjid agung
2-Jun-23,Instagram,Jalan ambles
2-Jun-23,Lapor Sleman,Lampu Lalu Lintas Tidak Menyala Setiap Malam Hari
2-Jun-23,Twitter,Lapangan basket denggung
2-Jun-23,Twitter,Stadion maguwoharjo tidak lolos verifikasi LIB
2-Jun-23,Website,Permohonan sumur bor
2-Jun-23,Website,Wahana permainan lapangan denggung
2-Jun-23,Twitter,Pembakaran sampah
2-Jun-23,Twitter,Permohonan data anak stunting
3-Jun-23,Website,Permohonan PBG
3-Jun-23,Lapor Sleman,Surat Warga
4-Jun-23,Twitter,Wahana permainan lapangan denggung
4-Jun-23,Twitter,Tarif parkir tidak wajar
4-Jun-23,Lapor Sleman,Kabel Optik
4-Jun-23,Twitter,KTP Rusak
5-Jun-23,Lapor.go.id,Ketidaksopanan pendamping Dinsos
5-Jun-23,Lapor Sleman,Kembalikan Marwah Wisuda Untuk Lulusan Sarjana
5-Jun-23,Lapor Sleman,Penambangan Pasir Di Kali Progo Dng Alat Berat Dan Mepet Rumah
6-Jun-23,Lapor Sleman,CCTV Are SLEMAN
6-Jun-23,Lapor Sleman,Lampu Penerangan Jalan Mati
6-Jun-23,Lapor Sleman,Jalan Berlubang Sangat Parah
6-Jun-23,Instagram,Informasi vaksin
6-Jun-23,Lapor Sleman,Kenyamanan di Pasar
7-Jun-23,Lapor Sleman,PJU Mati
7-Jun-23,Instagram,Informasi vaksin
7-Jun-23,Lapor Sleman,Jalan Berlubang Disekitar Jalan Selokan Mataram
7-Jun-23,Lapor Sleman,Ganti KTP Baru
8-Jun-23,Twitter,Jalan berlubang
8-Jun-23,Lapor Sleman,Gangguan lingkungan pabrik batako
8-Jun-23,Lapor Sleman,"Lampu Lalu Lintas ""tersembunyi"""
8-Jun-23,Twitter,Permohonan SPPT PBB
9-Jun-23,Lapor Sleman,Kenyamanan Dan Tata Letak Pedagang
9-Jun-23,Instagram,Jalan berlubang
9-Jun-23,Website,Beton di jalan
10-Jun-23,Twitter,wabah lalat
10-Jun-23,Twitter,TPS membakar sampah
10-Jun-23,Website,TPS membakar sampah
10-Jun-23,Lapor Sleman,Parkir Mobil Dan Motor Di Selatan Taman Denggung Meresahkan
10-Jun-23,Instagram,Langganan sampah
11-Jun-23,Lapor Sleman,Air PDAM Keruh Kuning
11-Jun-23,Twitter,Penduduk masuk
11-Jun-23,Twitter,Jalan rusak
11-Jun-23,Twitter,LPJU ring road
11-Jun-23,Lapor Sleman,Laporan Jalan Berlubang
11-Jun-23,Lapor Sleman,Pengepul Sampah Di Lingkungan Padat Penduduk
12-Jun-23,Lapor Sleman,PJU Jalan Kabupaten Tidak Ada.
12-Jun-23,Instagram,Pak Ogah mengganggu
12-Jun-23,Instagram,Aspal Utara Masjid Pathok Negoro Mlangi Rusak Parah
12-Jun-23,Instagram,Vaksin
12-Jun-23,Website,Uang kas bagi warga yang mebangun rumah
13-Jun-23,Twitter,LPJU mati
13-Jun-23,Twitter,LPJU mati
13-Jun-23,Instagram,Permohonan AK I
13-Jun-23,Twitter,Permohonan AK I
13-Jun-23,Lapor Sleman,Pembakaran Sampah Di Lingkungan Padat Penduduk
13-Jun-23,Lapor Sleman,Cari Orang
13-Jun-23,Lapor Sleman,Memohon Infrastuktur Perpustakaan Penunjang Pendidikan
13-Jun-23,Twitter,Jalan berlubang
14-Jun-23,Facebook Pemkab Sleman,Jasa pengambilan sampah
14-Jun-23,Email,Perumahan subsidi
14-Jun-23,Twitter,Permohonan data jurnal penelitian
14-Jun-23,Instagram,Drainase ambles
14-Jun-23,Instagram,APILL perempatan jembatan ugm
15-Jun-23,Lapor Sleman,Kenyamanan Masyarakat
15-Jun-23,Telepon Langsung,Aduan Lampu PJU di Jalan PJKA
15-Jun-23,Telepon Langsung,PPDB SMP
16-Jun-23,Instagram,APILL Mati Di Jakal Km 14
16-Jun-23,Instagram,Hak karyawan tidak diberikan
16-Jun-23,Twitter,PPDB
16-Jun-23,Website,Fungsi kartu miskin
17-Jun-23,Instagram,website slemankab
17-Jun-23,Instagram,Permohonan KIP
17-Jun-23,Twitter,Sampah berserakan
17-Jun-23,Lapor Sleman,Surat Warga
18-Jun-23,Twitter,Jalan berlubang
18-Jun-23,Instagram,Tindak pidana
18-Jun-23,Instagram,CCTV 24 jam
18-Jun-23,Instagram,Akses jalan tertutup parkir liar
18-Jun-23,Website,Pasar malam sariharjo
18-Jun-23,Lapor Sleman,Lampu Pju Mati
18-Jun-23,Lapor Sleman,Jalan Gang Prayan Wetan RW 35
18-Jun-23,Lapor Sleman,Lobang Jalan Gejayan
19-Jun-23,Instagram,Surat domisili
19-Jun-23,Website,Website sinom down
19-Jun-23,Lapor Sleman,Septi Tank
19-Jun-23,Lapor Sleman,Kegiatan Shalat Ied Dan Pasar Malam Di Denggung
19-Jun-23,Lapor Sleman,Bantuan Penggantian Konblok
20-Jun-23,Instagram,Membuat AK 1
20-Jun-23,SMS Hotline,Parkir memakan bahu jalan
20-Jun-23,Instagram,Progarm baznas
20-Jun-23,Lapor Sleman,Tidak Bisa Donwload Formulir Perubahan Elemen Data KK
21-Jun-23,Lapor Sleman,Penguasaan Sekolah Oleh Satu Orang
21-Jun-23,Lapor Sleman,Parkir Mobil Disepanjang Jalan KRT Pringgodiningrat
21-Jun-23,Instagram,Bibit pohon
22-Jun-23,Lapor.go.id,Nasib Pedagang Pakan Ternak di Pasar Prambanan
22-Jun-23,Lapor Sleman,PKL Di Trotoar
22-Jun-23,Lapor Sleman,Air Pdam Keciiiiiil
22-Jun-23,Twitter,Jalan kaliurang tidak rata
22-Jun-23,Instagram,Parkir memakan bahu jalan
23-Jun-23,Lapor Sleman,Limbah Kotoran Hewan
24-Jun-23,Instagram,Gangguan lingkungan dari kegiatan SKE
25-Jun-23,Lapor Sleman,Jalan Berlubang
26-Jun-23,Lapor Sleman,Pungli Sekolah
26-Jun-23,Lapor Sleman,Pelayanan puskesmas mlati 1 Kurang Ramah
26-Jun-23,Lapor Sleman,Gorong Gorong Tanpa Tutup Hampir 6 Bulan Tidak Ada Perbiakan
26-Jun-23,Lapor Sleman,Limbah Asap Dan Bau Tdk Sedap Serta Suara Mesin Yg Mengganggu
26-Jun-23,Instagram,Membuat KIP
26-Jun-23,Facebook Pemkab Sleman,Data Kemiskinan
27-Jun-23,Lapor Sleman,Jalan Berlubang
27-Jun-23,Lapor Sleman,Bangunan Tingkat 4 Tampa Imb 2 Gedung
27-Jun-23,Lapor Sleman,Pemalsuan Kepala Sekolah
27-Jun-23,Lapor Sleman,Parkir D Jalanan Mempersempit Jalanan Umum
27-Jun-23,Instagram,Kontak KUA
27-Jun-23,Instagram,Lokasi mesin ADM
27-Jun-23,Instagram,Pelayanan air PDAM
28-Jun-23,Instagram,Gangguan lingkungan dari home stay
28-Jun-23,Instagram,Website sinom down
28-Jun-23,Lapor Sleman,Air Parit Meluap Ke Jalan Kabupaten Jl. Johar
28-Jun-23,Instagram,Perluasan jaringan internet provider
29-Jun-23,Lapor Sleman,Jalan Berlubang Dalam Di Jl Garuda Sardonoharjo Ngaglik Sleman
30-Jun-23,Lapor Sleman,Lampu Penerangan Jalan Mati
1-Jul-23,Lapor Sleman,Jalan Berlubang
1-Jul-23,Lapor Sleman,Tagihan PDAM 2 Bulan Nominal Sma
2-Jul-23,Lapor Sleman,Atap Tribun Barat Stadion Maguwoharjo Mengkhawatirkan
3-Jul-23,Lapor Sleman,Surat Warga
3-Jul-23,Lapor Sleman,Parkir
3-Jul-23,Lapor Sleman,Tengah Pemukiman Di Jadikan Tempat Sampah Bau
3-Jul-23,Lapor Sleman,Penambalan Jalan Aspal Rusak Di Dusun
3-Jul-23,Instagram,Gangguan lingkungan
3-Jul-23,Instagram,Permohonan audiensi bupati
3-Jul-23,Instagram,web perizinan tidak bisa dibuka
3-Jul-23,Instagram,Informasi wifi padukuhan
4-Jul-23,Instagram,JAm pelayanan dinas dukcapil
4-Jul-23,Lapor Sleman,Lampu Jalan Raya
4-Jul-23,Lapor Sleman,Buang Sampah Sembarangan
4-Jul-23,Lapor.go.id,Dokter UGM Teriak di RSUD Sleman
5-Jul-23,Lapor Sleman,Pelayanan Dukcapil
5-Jul-23,Lapor Sleman,Jalur Trotoar Buat Jualan
6-Jul-23,Lapor.go.id,Mohon Pengerukan Dan Pelebaran Dam Sambisari/Grogol
6-Jul-23,Lapor.go.id,Surat ijin praktek inseminator
7-Jul-23,Lapor Sleman,Rumah Makan Rata Rata Nogotirto Menjual Makanan Kualitas Buruk
7-Jul-23,Lapor Sleman,Penambalan Jalan Aspal Berlubang
8-Jul-23,Lapor Sleman,Free Wifi Sleman Sinyal Hilang
8-Jul-23,Lapor Sleman,Lampu Mercury Mati
9-Jul-23,Lapor Sleman,Perapian Jalan Persada IV Oleh Warga RT 11
10-Jul-23,Instagram,drainase berlubang
10-Jul-23,Lapor Sleman,BUS BERHENTI DI AREA DILARANG BERHENTI
10-Jul-23,Lapor.go.id,tukang parkir tempo gelato jakal sering buat macet
10-Jul-23,Lapor.go.id,tukang parkir tempo gelato jl kaliurang sering membuat macet
10-Jul-23,Twitter,truck melanggar larangan melintas
11-Jul-23,Lapor Sleman,Parkir Truk Selalu Mengganggu
11-Jul-23,Lapor Sleman,Jalanan Berbhaya
11-Jul-23,Lapor Sleman,Pembangunan 2 Gedung Tampa IMB
11-Jul-23,Lapor Sleman,Jalan Rusak
12-Jul-23,Lapor Sleman,Limbah Industri
12-Jul-23,Lapor Sleman,RETRIBUSI PARKIR TIDAK WAJAR
13-Jul-23,Lapor Sleman,Tidak Ada Fasilitas Tempat Duduk Di DPUPKP
13-Jul-23,Website,Tidak Ada Fasilitas Tempat Duduk Di DPUPKP
13-Jul-23,Lapor Sleman,Box Panel Lampu PJU Terbakar
13-Jul-23,Website,Ijazah di tahan
13-Jul-23,Instagram,jalan rusak
14-Jul-23,Lapor.go.id,pkh tahap 2 belum cair
15-Jul-23,Twitter,jalan berlubang
15-Jul-23,Lapor Sleman,USAHA LIMBAH RESTORAN DI ATAS TANAH KAS DESA MERUSAK LINGKUNGAN
16-Jul-23,Instagram,pajak papan reklame
16-Jul-23,Instagram,Pelayanan SIM
16-Jul-23,Lapor Sleman,PENERANGAN JALAN TIDAK HIDUP
16-Jul-23,Lapor Sleman,LAMPU PENERANGAN JALAN TIDAK HIDUP
16-Jul-23,Lapor Sleman,Pembangunan Rumah
16-Jul-23,Lapor Sleman,PJU Mati
17-Jul-23,Lapor Sleman,Bangunan 3 Lantai Tampa IMB
17-Jul-23,Twitter,Aspal jalan rusak
17-Jul-23,Website,Surat Warga
17-Jul-23,Lapor Sleman,Tetangga Membakar Sampah Setiap Hari
17-Jul-23,Lapor Sleman,Jalan Berlobang Di Sebelah Timur Balai Desa Sumberharjo Prambanan
17-Jul-23,Lapor Sleman,Pelajaran Anak SD
17-Jul-23,Lapor Sleman,Lampu PJU Griya Kuantan Jombor Mati
17-Jul-23,Instagram,Jalan rusak
18-Jul-23,Lapor Sleman,Pju Gelap Karena Rusak
18-Jul-23,Lapor Sleman,Laporan Ketenaga Kerjaan
18-Jul-23,Instagram,SE sekolah 5 hari
18-Jul-23,Instagram,Kontak DInkop
19-Jul-23,Instagram,Kontak KPAI
19-Jul-23,Lapor Sleman,Penyebrangan Depan Kantor BKN Jalan Magelang
20-Jul-23,Twitter,Pengerjaan jalan kaliurang berhenti 2 hari membuat debu bertebaran
20-Jul-23,Lapor Sleman,JPS Pendidikan
20-Jul-23,Instagram,pengelola lapangan pemda
21-Jul-23,Instagram,Legalisir akta
21-Jul-23,Instagram,Pelayanan Kecamatan
21-Jul-23,Lapor.go.id,Volume toa masjid sangat radikal tidak toleransi
21-Jul-23,Lapor Sleman,Pembuangan Sampah Di Sungai
21-Jul-23,Lapor Sleman,Permohonan Pemindahan Convex Mirror / Cermin Tikungan
21-Jul-23,Lapor Sleman,Lampu Mati
21-Jul-23,Lapor Sleman,Penghijauan
21-Jul-23,Lapor Sleman,Lampu APILL Hanya Berkedip Kuning Terus
21-Jul-23,Instagram,TPA Piyungan
21-Jul-23,Instagram,TPA Piyungan
21-Jul-23,Twitter,TPA Piyungan
21-Jul-23,Twitter,TPA Piyungan
22-Jul-23,Lapor Sleman,nfo Penanganan Selanjutnya Seperti Apa Pak
22-Jul-23,Lapor Sleman,Sekolah 5 Hari Dan Tidak Ada PR Lagi
22-Jul-23,Lapor Sleman,Pelayanan Lama
22-Jul-23,Instagram,TPA Piyungan
22-Jul-23,Twitter,PJU mati
23-Jul-23,Lapor Sleman,Hari Minggu Masih Ada Pengerjaan
23-Jul-23,Lapor Sleman,Permasalahan Sampah Kabupaten Sleman Danpak Tidak Beroperasinya TPA Piyungan
23-Jul-23,Lapor Sleman,Tindakan Curang PKWT Karyawan
23-Jul-23,Lapor Sleman,Informasi kejar paket
24-Jul-23,Lapor Sleman,Lampu Penerangan Jalan Prambanan-Piyungan Padam
24-Jul-23,Lapor Sleman,Lampu Trafic Light Kalau Sore Eror
24-Jul-23,Instagram,Kartu rentan Miskin
24-Jul-23,Website,TPA Piyungan
24-Jul-23,Lapor Sleman,Pembuatan Akte Kematian
24-Jul-23,Website,Permohonan data UMKM
24-Jul-23,Twitter,Lokasi pembuangan sampah sementara cangkringan
25-Jul-23,Instagram,Lokasi TPS di Sleman
25-Jul-23,Instagram,pju mati
25-Jul-23,Instagram,Audiensi dengan bupati
25-Jul-23,Instagram,Jalan berlubang
25-Jul-23,Instagram,TPS cangkringan
25-Jul-23,Lapor Sleman,Pembuangan Sampah Dan Pengepul Rosok Di Sepadan Sungai Kali Kuning
25-Jul-23,Lapor Sleman,Surat Warga
25-Jul-23,Twitter,Lapangan margomulyo seyegan
26-Jul-23,Lapor Sleman,Macet
26-Jul-23,Website,Permohonan SKTM
26-Jul-23,Instagram,TPS3R daerah mino
26-Jul-23,Instagram,TPS3R daerah sleman
26-Jul-23,Twitter,LPJU underpass kentungan
26-Jul-23,Instagram,Underpass kentungan sering kecelakaan
26-Jul-23,Lapor.go.id,Guru yang malas mengajar
26-Jul-23,Website,Permohonan KIP
26-Jul-23,Lapor Sleman,Sampah Sekarang Jingga September 2023
26-Jul-23,Lapor Sleman,Batu Pembatas Jalan Berbahaya
26-Jul-23,Lapor.go.id,Syarat Pembuatan Akta Kelahiran
26-Jul-23,Instagram,Depo sampah terdekat dengan godean
26-Jul-23,Instagram,Depo sampah terdekat dengan gamping
26-Jul-23,Instagram,Depo sampah terdekat dengan sleman
27-Jul-23,Website,cctv
27-Jul-23,Lapor Sleman,Pohon Perindang Kropos
27-Jul-23,Instagram,APILL mati
27-Jul-23,Instagram,Depo sampah terdekat dengan sleman
27-Jul-23,Instagram,Depo sampah terdekat dengan sleman
28-Jul-23,Lapor Sleman,Izin Donasi Dana Umat
28-Jul-23,Lapor Sleman,Lamanya Pelayanan Perizinan
28-Jul-23,Lapor Sleman,Ngga Ada Transportasi Publik Jadi Repot Yang Ngga Punya Motor
28-Jul-23,Lapor Sleman,CCTV. Pada Gapura Dusun
28-Jul-23,Twitter,APILL mati
28-Jul-23,Instagram,Kabel FO Kominfo Sleman
28-Jul-23,Instagram,Depo sampah terdekat dengan sleman
28-Jul-23,Instagram,Depo sampah terdekat dengan depok
30-Jul-23,Lapor Sleman,TPU SLEMAN
30-Jul-23,Lapor Sleman,"Jalan Banyak Tambalan, Berlubang Dan Sisi Jalan Tergerus"
30-Jul-23,Lapor Sleman,Jalan Affandi / Gejaya Gronjal Berbahaya
30-Jul-23,Lapor.go.id,Lampu Apill Mati Sebagian
30-Jul-23,Instagram,iuran warga yang memberatkan
30-Jul-23,Instagram,Jalan berlubang
31-Jul-23,Twitter,LPJU jalan nasional
31-Jul-23,Twitter,LPJU jalan nasional
31-Jul-23,Twitter,Puskeswan
1-Aug-23,Lapor Sleman,PJU Mati
1-Aug-23,Twitter,LPJU jalan nasional
1-Aug-23,Website,Penyewaan lapangan tenis indoor
1-Aug-23,Instagram,Penyewaan lapangan tenis indoor
1-Aug-23,Instagram,Informasi kebijakan sekolah 5 hari kerja
1-Aug-23,Twitter,"Jalan kaliurang Km 13,5 berdebu pekerjaan berhenti"
1-Aug-23,Instagram,Talud bendungan rusak
2-Aug-23,Instagram,Website sinom
2-Aug-23,Instagram,5 hari sekolah
2-Aug-23,Website,Pindah penduduk
3-Aug-23,Twitter,Penumpukan sampah
3-Aug-23,Instagram,Saluran irigasi rusak
3-Aug-23,Lapor Sleman,Ijin KRK
3-Aug-23,Lapor Sleman,Lampu Lalu Lintas Tertutup Tiang Internet Dan Papan Iklan
3-Aug-23,Instagram,Informasi lowongan pekerjaan
4-Aug-23,Twitter,APILL jalan wates
4-Aug-23,Instagram,Pelayanan RSUD Sleman
5-Aug-23,Lapor Sleman,KONDISI Jl. Gito Gati Belim Sepenuhnya Rampung
5-Aug-23,Instagram,Iuran warga yang memberatkan
5-Aug-23,Instagram,Gangguan kenyamanan
6-Aug-23,Lapor Sleman,Gimana Ini Pak
