Tanggal,Media,Topik
12-Jan-21,Instagram,Cafe Kopi Beranda menerima tamu di atas jam 7 malam saat diberlakukan PTKM
12-Jan-21,Instagram,Kerumunan sepanjang jalan mirota kampus ke utara saat diberlakukan PTKM
12-Jan-21,Instagram,Defender ring road rusak
12-Jan-21,Instagram,Kebijakan sleman mengenai sekolah offline
12-Jan-21,Twitter,PJU di jalur evakuasi merapi
13-Jan-21,Twitter,Penutupan sementara taman denggung selama PTKM
13-Jan-21,Twitter,Jalan Nasional rusak
13-Jan-21,Lapor.go.id,Klaster Covid19 STPN
13-Jan-21,Instagram,Pemberlakuan PTKM
13-Jan-21,Instagram,Magang di Dinas Kominfo
13-Jan-21,Instagram,Jam pelayanan Dukcapil selama diberlakukan PTKM
13-Jan-21,Facebook Pemkab Sleman,Jam pelayanan Dukcapil selama diberlakukan PTKM
13-Jan-21,Instagram,Pertanyaan harus tes antigen atau PCR
13-Jan-21,Instagram,Pengajuan kartu miskin
13-Jan-21,Instagram,Pengajuan BLT untuk anak sekolah
13-Jan-21,Website,Jalan berlubang
13-Jan-21,Twitter,daftar tempat/hotel sleman utk isolasi
13-Jan-21,Lapor Sleman,Update Data Kependudukan
13-Jan-21,Instagram,Jam pelayanan dinas dan kecamatan selama PTKM
13-Jan-21,Instagram,Informasi kemenkes
13-Jan-21,Instagram,Rumah makan menerima makan ditempat saat diberlakukan PTKM
13-Jan-21,Facebook Pemkab Sleman,Jalan berlubang
13-Jan-21,Lapor Sleman,Lampu PJU Di Jln Besi Jangkang Byar Pet Kalau Hujan
13-Jan-21,Lapor Sleman,Cafe menerima tamu di atas jam 7 malam saat diberlakukan PTKM
13-Jan-21,Lapor Sleman,Undangan Penerima Bantuan Sosial Tunai Tidak Sampai Ke Penerima
13-Jan-21,Website,smpit salman al farisi ingin melaksanakan pembelajaran secara ofline pada tanggal 19 januari
13-Jan-21,Website,smpit salman al farisi ingin melaksanakan pembelajaran secara ofline pada tanggal 19 januari
14-Jan-21,Twitter,Perpanjang SIM
14-Jan-21,Twitter,Aturan jam operasional warung makan saat diberlakukan PTKM
14-Jan-21,Instagram,Launching vaksin corona
14-Jan-21,Instagram,Tanah longsor berbahaya
14-Jan-21,Instagram,Keluar kota saat diberlakukan PTKM
14-Jan-21,Twitter,Daftar online KIR
14-Jan-21,Twitter,Pembuatan nomor rumah
14-Jan-21,Lapor Sleman,Pengurusan Letter C
14-Jan-21,Lapor Sleman,Prokes Di Warung Makan saat diberlakukan PTKM
14-Jan-21,Website,bantuan sosial bagi penderita gagal ginjal
14-Jan-21,Instagram,Pemberlakuan jam operasional usaha saat diberlakukan PTKM
14-Jan-21,Instagram,Pemberlakuan jam operasional usaha saat diberlakukan PTKM
14-Jan-21,Instagram,Cara mendapatkan vaksin untuk masyarakat umur 50th
14-Jan-21,Facebook Pemkab Sleman,Sinkronisasi data kependudukan
14-Jan-21,Website,Kartu miskin masih jadis atu dengan orang tua
15-Jan-21,Twitter,SK Bupati
15-Jan-21,Instagram,Kontak Center Posko PTKM
15-Jan-21,Instagram,Legalisir Dokumen kependudukan secara online
15-Jan-21,Instagram,Layanan online Dukcapil
15-Jan-21,Instagram,Pembakaran sampah oleh tetangga
15-Jan-21,Instagram,Keluar kota dari jogja apakah perlu PCR?
15-Jan-21,Instagram,Kebijakan PTKM
15-Jan-21,Instagram,SK tanggap darurat merapi
15-Jan-21,Facebook Pemkab Sleman,Pelayanan Dukcapil
15-Jan-21,Lapor Sleman,Cara Dan Syarat Nik Kartu Keluarga Agar Terdaftar Di Sistem Online
15-Jan-21,Website,Protokol kesehatan di TPA Masjid saat PTKM
15-Jan-21,Twitter,Jam operasional toko selama PTKM
15-Jan-21,Twitter,Pengumpulan berkas ke Dinas Sosial
15-Jan-21,Twitter,Vaksin untuk penyintas covid 19
15-Jan-21,Twitter,SK Bupati Sleman No. 94.98/Kep.KDH/A/2021
15-Jan-21,Twitter,Protokol kesehatan di TPA Masjid saat PTKM
15-Jan-21,Twitter,Biaya rapid test
15-Jan-21,Email,Perihal izin mengadakan event
15-Jan-21,Email,Tetangga membakar sampai yang mengganggu kesehatan
16-Jan-21,Lapor Sleman,Prokes Di Warung Indomie
16-Jan-21,Instagram,Bantuan UMKM tidak tepat sasaran
16-Jan-21,Instagram,Data pembagian barak pengungsian merapi
16-Jan-21,Facebook Pemkab Sleman,Permohonan Jampersal
17-Jan-21,Instagram,Pipa PDAM bocor
17-Jan-21,Lapor Sleman,Pelanggaran PSBB
17-Jan-21,Website,Penertiban warung - warung saat PTKM
17-Jan-21,Twitter,RS untuk bersalin
17-Jan-21,Twitter,Pedagang kaki lima berjualan tanpa protokol kesehatan saat PTKM
17-Jan-21,Twitter,Kedai kopi buka dan ramai saat PTKM
18-Jan-21,Website,Bantuan dampak covid - 19
18-Jan-21,Instagram,Update data kependudukan
18-Jan-21,Twitter,Pelanggaran Protokol kesehatan saat PTKM
18-Jan-21,Website,Peningkatan jalan di Sleman
18-Jan-21,Twitter,Mohon diberi drainase
18-Jan-21,Instagram,Akun dan telepon Dukcapil
18-Jan-21,Instagram,Mendapatkan SPPT
18-Jan-21,Facebook Pemkab Sleman,BLT untuk ibu hamil
18-Jan-21,Twitter,Data belum masuk sistem
19-Jan-21,Instagram,Jalan berlubang
19-Jan-21,Twitter,Data kasus bertambahnya pasien covid-19
19-Jan-21,Lapor Sleman,Permohonan Informasi Desa Binaan
19-Jan-21,Twitter,Restoran ramai saat diberlakukan PTKM
19-Jan-21,Facebook Grup ICJ,Layanan Dukcapil
20-Jan-21,Instagram,Toko buka sampai malam di atsa jam 19.00 saat diberlakukan PTKM
20-Jan-21,Website,Permohonan pemasangan speed table
20-Jan-21,Lapor Sleman,Tunjangan Hari Raya
20-Jan-21,Lapor Sleman,Galian Jalan Perumnas Memakan Korban
20-Jan-21,Lapor Sleman,Mohon Respon Cepat! Lampu Lalin Persimpangan Ringroad Mati
21-Jan-21,Instagram,Sudah tertib masih terkena razia Satpol PP saat diberlakukan PTKM
21-Jan-21,Lapor Sleman,SEKOLAH PAKSAKAN TATAP MUKA SAAT MASIH DIBERLAKUKAN PTKM
21-Jan-21,Instagram,Lampu APILL Perempatan Kentungan mati
21-Jan-21,Lapor Sleman,WAJIB DITINDAK: SEKOLAH DIAM DIAM TATAP MUKA TANPA PROKES SAAT DIBERLAKUKAN PTKM
21-Jan-21,Lapor Sleman,PONPES DI SLEMAN MAU ADAKAN PEMBELAJARAN TATAP MUKA SAAT DIBERLAKUKAN PTKM
21-Jan-21,Facebook Pemkab Sleman,Sinkronisasi data kependudukan
21-Jan-21,Lapor Sleman,Pohon Bambu
21-Jan-21,Lapor Sleman,Pelayanan Pecah Bidang Di BPN Sleman
21-Jan-21,Instagram,Kabar Dinas Dukcapil klaster baru covid - 19
21-Jan-21,Facebook Pemkab Sleman,Atap roboh terkena angin
21-Jan-21,Twitter,Perpanjangan Pemberlakuan PTKM
21-Jan-21,Instagram,Perpanjangan Pemberlakuan PTKM
21-Jan-21,Website,Informasi tentnag dampak penggunaan Aplikasi Lapor Sleman
21-Jan-21,Website,Sinkronisasi data kependudukan
21-Jan-21,Website,Bantuan bagi korban meninggal akibat covid - 19
21-Jan-21,Lapor Sleman,Thr Yg Blm Di Bayarkan
21-Jan-21,Instagram,Jalan Desa
21-Jan-21,Instagram,Lonjakan kasus covid - 19
21-Jan-21,Instagram,Menggelar hajatan saat diberlakukan PTKM
21-Jan-21,Instagram,Jalan Gito - Gati
21-Jan-21,Instagram,Perpanjang SIM
21-Jan-21,Instagram,Seturan rame orang makan malam saat diberlakukan PTKM
21-Jan-21,Instagram,Bapak Bupati Sleman positif covid - 19
21-Jan-21,Instagram,Bapak Bupati Sleman positif covid - 19
21-Jan-21,Twitter,Ganti foto KTP
21-Jan-21,Twitter,Mutasi KK online
22-Jan-21,Website,Patroli warung makan 24 jam saat diberlakukan PTKM
22-Jan-21,Lapor Sleman,Jalan Berlubang
22-Jan-21,Lapor Sleman,Ada Informasi Simpang Siur Yang Beredar Di Desa Rajek Wetan Mengemai Adanya Perubahan Peta Untuk Jalan Tol Jogja Bawen
22-Jan-21,Instagram,Warmindo untuk nongkrong sampai malam saat diberlakukan PTKM
22-Jan-21,Instagram,Pengambilan berkas di Dukcapil
22-Jan-21,Instagram,Tempat makan rame saat diberlakukan PTKM
22-Jan-21,Instagram,Hajatan dilaksanakan saat diberlakukan PTKM
22-Jan-21,Instagram,Dipasar banyak yang tidak memakai masker di saat diberlakukan PTKM
22-Jan-21,Instagram,Pencarian orang tua
22-Jan-21,Instagram,Perjalanan ke Sleman saat diberlakukan PTKM
22-Jan-21,Instagram,Berdagang di malam hari saat diberlakukan PTKM
22-Jan-21,Lapor Sleman,Mohon Info Cetak KK
22-Jan-21,Lapor Sleman,Legalisir Akta Kelahiran
22-Jan-21,Lapor Sleman,Trotoar Rusak
22-Jan-21,Lapor Sleman,Pju Mati Lk 2 Minggu
22-Jan-21,Instagram,Laporan pelanggaran protokol kesehatan rumah makan saat diberlakukan PTKM
22-Jan-21,Instagram,Kenapa diberlakukan PTKM dan bukan lockdown
22-Jan-21,Instagram,Pemberlakuan WFH dan WFO bagi UMKM saat diberlakukan PTKM
22-Jan-21,Instagram,Warung Burjo banyak melakukan pelanggaran prokes saat diberlakukan PTKM
22-Jan-21,Instagram,Patroli warung makan saat diberlakukan PTKM
22-Jan-21,Twitter,Taman kota untuk berjualan duren
22-Jan-21,Twitter,PIN untuk cetak KK
22-Jan-21,Twitter,KTP Rusak
22-Jan-21,Website,Perraturan Protokol Kesehatan
22-Jan-21,Website,Rekomendasi rencana kegiatan
22-Jan-21,Website,Permohonan patroli saat diberlakukan PTKM
23-Jan-21,Instagram,Cafe buka dan ramai saat diberlakukan PTKM
23-Jan-21,Instagram,Jalan berlubang
23-Jan-21,Instagram,Pelayanan online Dukcapil
23-Jan-21,Instagram,Dimohon setiap Kapanewon melakukan patroli prokes saat diberlakukan PTKM
23-Jan-21,Instagram,Permohonan patroli saat diberlakukan PTKM
23-Jan-21,Instagram,Perizinan IPPT
23-Jan-21,Instagram,Warung tutup saat diberlakukan PTKM
23-Jan-21,Instagram,Permohonan patroli saat diberlakukan PTKM
23-Jan-21,Instagram,Warga yang ronda tidak patuh prokes saat diberlakukan PTKM
23-Jan-21,Instagram,Permohonan patroli saat diberlakukan PTKM
23-Jan-21,Instagram,Permohonan patroli saat diberlakukan PTKM
23-Jan-21,Instagram,Permohonan patroli warung makan yang tmenjalankan prokes saat diberlakukan PTKM
23-Jan-21,Instagram,Permohonan patroli pagi ke pasar saat diberlakukan PTKM
23-Jan-21,Instagram,Informasi lowongan pekerjaan
23-Jan-21,Instagram,Proses balik nama sertifikat
23-Jan-21,Instagram,Kegiatan masyarakat masih jalan saat diberlakukan PTKM
23-Jan-21,Instagram,Layanan Kependudukan Dukcapil
23-Jan-21,Instagram,Edukasi masyarakat tentang pasien covid-19 terkonfirmasi
23-Jan-21,Instagram,Pengemis di pasar tempel
23-Jan-21,Instagram,Permohonan patroli pagi ke pasar saat diberlakukan PTKM
23-Jan-21,Instagram,Permohonan patroli pagi ke pasar saat diberlakukan PTKM
23-Jan-21,Instagram,SE perpanjangan PTKM
23-Jan-21,Instagram,Permohonan patroli pagi ke pasar saat diberlakukan PTKM
23-Jan-21,Instagram,Formasi CPNS th 2021
23-Jan-21,Twitter,Permohonan patroli pagi ke pasar saat diberlakukan PTKM
23-Jan-21,Twitter,Permohonan patroli pagi ke pasar saat diberlakukan PTKM
23-Jan-21,Twitter,Hajatan dilaksanakan saat diberlakukan PTKM
23-Jan-21,Instagram,Aliran PDAM
23-Jan-21,Instagram,Pelayanan online Dukcapil
23-Jan-21,Website,Bantuan untuk seniman yang sepi job
23-Jan-21,Lapor Sleman,Lampu PJU Mati
23-Jan-21,Lapor Sleman,Mohon Ditertibkan Cafe Di Deresan Gejayan Saat PTKM Masih Buka Sampai Tengah Malam
24-Jan-21,Lapor Sleman,Kerumunan Di Warung Sampai Larut Malam Saat Diberlakukan PTKM
24-Jan-21,Lapor Sleman,Pohon Besar Pinggir Jalan Membahayakan
24-Jan-21,Lapor Sleman,THR 2019 Belum Selesai Dibayarkan
24-Jan-21,Instagram,Permohonan patroli pagi ke pasar saat diberlakukan PTKM
24-Jan-21,Instagram,Pemerintah kurang tegas mengenai pemberlakukan PTKM
24-Jan-21,Instagram,Alat tes covid-19 genose buatan UGM
24-Jan-21,Instagram,Permohonan patroli pagi ke pasar saat diberlakukan PTKM
24-Jan-21,Instagram,Permohonan patroli pagi ke pasar saat diberlakukan PTKM
24-Jan-21,Instagram,Permohonan patroli pagi ke pasar saat diberlakukan PTKM
24-Jan-21,Instagram,Permohonan patroli pagi ke pasar saat diberlakukan PTKM
24-Jan-21,Instagram,RS yang melayani swab antigen
24-Jan-21,Instagram,Permohonan patroli pagi ke pasar saat diberlakukan PTKM
24-Jan-21,Instagram,Permohonan patroli pagi ke pasar saat diberlakukan PTKM
24-Jan-21,Instagram,Permohonan patroli pagi ke pasar saat diberlakukan PTKM
24-Jan-21,Instagram,Jalan Gito - Gati
24-Jan-21,Instagram,Permohonan patroli pagi ke pasar saat diberlakukan PTKM
24-Jan-21,Instagram,Pohon menutup papan penunjuk jalan
24-Jan-21,Instagram,Permohonan patroli pagi ke pasar saat diberlakukan PTKM
24-Jan-21,Instagram,Permohonan patroli pagi ke pasar saat diberlakukan PTKM
24-Jan-21,Instagram,Perpanjangan Pemberlakuan PTKM
24-Jan-21,Instagram,Permohonan patroli pagi ke pasar saat diberlakukan PTKM
24-Jan-21,Instagram,Keluar masuk jogja saat diberlakukan PTKM
24-Jan-21,Twitter,Perpanjangan pemberlakuan PTKM
24-Jan-21,Twitter,Permohonan patroli pagi ke pasar saat diberlakukan PTKM
24-Jan-21,Twitter,Permohonan patroli pagi ke pasar saat diberlakukan PTKM
24-Jan-21,Twitter,Permohonan patroli pagi ke pasar saat diberlakukan PTKM
24-Jan-21,Twitter,LPJU Mati
24-Jan-21,Website,Permohonan pengangkatan Guru Honorer
24-Jan-21,Website,Prosedur permohonan SKTM
24-Jan-21,Website,SEKOLAH PAKSAKAN TATAP MUKA SAAT MASIH DIBERLAKUKAN PTKM
24-Jan-21,SMS Hotline,Permohonan patroli pagi ke pasar saat diberlakukan PTKM
25-Jan-21,Instagram,Bantuan bagi seniman yang sepi job
25-Jan-21,Instagram,Bantuan bagi anak yatim
25-Jan-21,Instagram,Perpanjangan pemberlakuan PTKM
25-Jan-21,Twitter,Permohona bantuan UMKM
25-Jan-21,Website,Permohonan
25-Jan-21,Lapor Sleman,Bantuan Pekerja Harian
25-Jan-21,Lapor Sleman,PONPES TARUNA NEKAT ADAKAN TATAP MUKA SAAT DIBERLAKUKAN PTKM
25-Jan-21,Instagram,Pengambilan KTP
25-Jan-21,Instagram,Prosedur mengurus STNK yang hilang
25-Jan-21,Twitter,Dasar perlibatan ormas untuk ketugasan pemerintah
25-Jan-21,Instagram,Pemberlakuan PTKM
25-Jan-21,Instagram,Perpanjangan pemberlakuan PTKM
25-Jan-21,Twitter,Pengungsian merapi
25-Jan-21,Twitter,SE Hajatan
25-Jan-21,Lapor Sleman,Jalan Berlubang
25-Jan-21,Instagram,Aliran PDAM
25-Jan-21,Instagram,Usaha tidak berizin
25-Jan-21,Instagram,Jam operasional pasar selama diberlakukan PTKM
25-Jan-21,Email,Pesantren memaksa santri untuk masuk dan pembelajaran tatap muka saat diberlakukan PTKM
26-Jan-21,Website,BPUM tidak cair
